model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Make
Kuga,2018,18980,Semi-Auto,8011,Diesel,150,47.9,2,Ford
2 Series,2019,26972,Manual,10,Petrol,145,52.3,1.5,BMW
Ka+,2018,6995,Manual,10529,Petrol,145,57.7,1.2,Ford
5 Series,2019,28000,Semi-Auto,3102,Petrol,145,50.4,2,BMW
3 Series,2016,13990,Manual,37550,Diesel,30,62.8,2,BMW
Focus,2019,15298,Automatic,13312,Petrol,145,50.4,1,Ford
Focus,2019,15980,Manual,7500,Petrol,145,60.1,1,Ford
X3,2019,31000,Semi-Auto,17355,Petrol,145,30.4,2,BMW
Golf,2016,16498,Manual,19394,Diesel,20,67.3,2,vw
Fiesta,2018,12500,Manual,116,Petrol,145,65.7,1,Ford
X5,2019,47123,Semi-Auto,8442,Diesel,145,37.7,3,BMW
Ka+,2018,8995,Manual,11900,Petrol,145,47.9,1.2,Ford
Aygo,2017,7498,Manual,22558,Petrol,150,68.9,1,toyota
Golf,2016,11798,Semi-Auto,39126,Petrol,0,65.7,1,vw
Golf,2017,12495,Manual,35320,Diesel,145,61.4,1.6,vw
EcoSport,2017,10995,Manual,9532,Petrol,150,52.3,1,Ford
Golf,2016,16000,Automatic,42314,Diesel,30,62.8,2,vw
Golf,2019,28999,Automatic,3369,Petrol,150,32.8,2,vw
Focus,2017,10300,Manual,51186,Petrol,125,51.4,1.5,Ford
Focus,2019,16499,Manual,7642,Diesel,145,74.3,1.5,Ford
Ioniq,2018,13995,Automatic,35876,Hybrid,135,78.5,1.6,Hyundai
Golf,2019,16490,Semi-Auto,15081,Diesel,145,54.3,1.6,vw
Golf,2019,19450,Semi-Auto,2900,Petrol,145,45.6,1.5,vw
Polo,2015,9500,Manual,19394,Petrol,20,60.1,1.2,vw
Octavia,2016,15562,Semi-Auto,17854,Diesel,125,60.1,2,skoda
3 Series,2017,12998,Semi-Auto,62576,Diesel,20,70.6,2,BMW
Sharan,2019,23540,Semi-Auto,12487,Diesel,145,41.5,2,vw
Focus,2019,15760,Manual,10282,Diesel,145,74.3,1.5,Ford
Focus,2017,11599,Manual,23436,Petrol,145,60.1,1,Ford
Q3,2016,18495,Manual,20952,Diesel,145,55.4,2,audi
M4,2016,29998,Semi-Auto,34209,Petrol,300,34,3,BMW
Polo,2016,8850,Manual,35586,Petrol,20,60.1,1.2,vw
Focus,2018,11295,Manual,13435,Petrol,145,60.1,1,Ford
Golf,2016,12190,Manual,28283,Petrol,30,53.3,1.4,vw
4 Series,2016,13090,Semi-Auto,59907,Diesel,30,65.7,2,BMW
Fiesta,2018,10750,Manual,9976,Petrol,145,64.2,1.1,Ford
Golf,2014,8595,Manual,63141,Petrol,30,53.3,1.4,vw
A4,2017,17850,Manual,28630,Diesel,20,68.9,2,audi
Auris,2015,13490,Automatic,36801,Hybrid,0,72.4,1.8,toyota
Touran,2019,19899,Manual,11708,Petrol,145,40.9,1,vw
Santa Fe,2015,11500,Automatic,91700,Diesel,265,41.5,2.2,Hyundai
Up,2020,11990,Manual,50,Petrol,145,51.4,1,vw
Superb,2017,14490,Semi-Auto,61595,Diesel,145,60.1,2,skoda
Polo,2016,11995,Manual,21050,Petrol,20,61.4,1.4,vw
Kuga,2019,21600,Automatic,2492,Petrol,150,29.4,1.5,Ford
Citigo,2018,8995,Manual,7802,Petrol,145,67.3,1,skoda
Kuga,2018,19999,Automatic,13859,Petrol,145,38.2,1.5,Ford
I30,2019,17590,Manual,4952,Petrol,145,42.2,1.4,Hyundai
Yaris,2020,14769,Manual,25,Petrol,150,47.9,1.5,toyota
1 Series,2017,13000,Manual,24104,Petrol,125,53.3,1.5,BMW
T-Cross,2019,19290,Automatic,2687,Petrol,145,45.6,1,vw
Santa Fe,2019,34998,Semi-Auto,4956,Diesel,145,39.2,2.2,Hyundai
A3,2017,18995,Manual,9538,Petrol,150,56.5,1.4,audi
Aygo,2016,5125,Manual,40630,Petrol,0,69,1,toyota
Corolla,2019,24995,Automatic,1350,Hybrid,135,72.4,2,toyota
Fiesta,2019,15299,Manual,5303,Petrol,145,58.9,1,Ford
Fabia,2018,10490,Manual,11669,Petrol,145,64.2,1,skoda
A3,2015,10995,Manual,94806,Diesel,30,65.7,2,audi
Fiesta,2016,8500,Manual,42195,Petrol,20,62.8,1,Ford
Rapid,2018,9422,Manual,21500,Petrol,150,61.4,1,skoda
Octavia,2019,16450,Automatic,3815,Diesel,145,67.3,2,skoda
Focus,2019,15790,Automatic,5114,Diesel,145,64.2,2,Ford
Corolla,2019,22290,Automatic,4633,Hybrid,140,78.5,1.8,toyota
X4,2016,24999,Automatic,28466,Diesel,200,47.9,3,BMW
Fabia,2015,6700,Manual,14829,Petrol,20,58.8,1,skoda
Fiesta,2018,10650,Manual,11451,Petrol,145,65.7,1,Ford
Citigo,2017,6300,Manual,27000,Petrol,150,64.2,1,skoda
Octavia,2016,11517,Semi-Auto,21732,Petrol,30,58.9,1.4,skoda
Tiguan,2019,19898,Manual,11069,Petrol,145,40.9,1.5,vw
Sharan,2017,16500,Automatic,37074,Diesel,145,54.3,2,vw
3 Series,2019,29990,Manual,16,Diesel,145,54.3,2,BMW
TT,2016,15400,Manual,33833,Diesel,30,62.8,2,audi
A3,2016,11299,Manual,18469,Diesel,20,68.9,2,audi
Focus,2017,10697,Manual,22946,Diesel,145,74.3,1.5,Ford
Kuga,2017,15500,Manual,15000,Diesel,145,60.1,2,Ford
Tucson,2019,22962,Automatic,700,Hybrid,145,50.4,1.6,Hyundai
RS3,2015,28985,Automatic,15016,Petrol,300,34.9,2.5,audi
Golf,2017,25999,Semi-Auto,20577,Petrol,145,39.8,2,vw
3 Series,2016,14000,Automatic,91707,Diesel,150,53.3,3,BMW
Golf,2016,13490,Manual,74120,Diesel,20,67.3,2,vw
Yaris,2018,11200,Manual,9643,Petrol,145,58.9,1.5,toyota
Kuga,2017,16500,Manual,29072,Diesel,125,60.1,2,Ford
Focus,2007,2799,Automatic,50403,Petrol,260,37.1,1.6,Ford
Polo,2016,10450,Manual,18919,Petrol,20,60.1,1.2,vw
Ioniq,2019,19970,Automatic,8862,Hybrid,135,62.8,1.6,Hyundai
A1,2012,6790,Manual,64446,Diesel,0,74.3,1.6,audi
2 Series,2017,19995,Semi-Auto,16266,Petrol,145,43.5,2,BMW
Golf SV,2019,19985,Manual,1659,Diesel,145,55.4,1.6,vw
Focus,2019,18000,Manual,3379,Petrol,145,58.9,1,Ford
A1,2015,9500,Automatic,54754,Diesel,0,76.3,1.6,audi
Q3,2020,33444,Automatic,1500,Petrol,145,31.4,2,audi
A4,2018,20171,Semi-Auto,14860,Petrol,145,50.4,1.4,audi
T-Cross,2019,16999,Manual,2338,Petrol,150,47.9,1,vw
I10,2018,8470,Manual,5713,Petrol,145,60.1,1,Hyundai
Up,2016,6898,Manual,26902,Petrol,20,64.2,1,vw
Tucson,2019,22750,Manual,5,Petrol,145,34.9,1.6,Hyundai
X3,2016,16998,Semi-Auto,63589,Diesel,145,54.3,2,BMW
Focus,2020,22490,Manual,3492,Petrol,145,60.1,1,Ford
I20,2017,9721,Manual,17717,Petrol,145,55.4,1.2,Hyundai
A1,2013,10495,Semi-Auto,44700,Petrol,125,53.3,1.4,audi
Golf,2017,13990,Manual,22298,Diesel,145,67.3,2,vw
A6,2017,19798,Semi-Auto,12623,Diesel,150,64.2,2,audi
5 Series,2016,12795,Automatic,64470,Diesel,30,62.8,2,BMW
Polo,2020,14451,Manual,1053,Petrol,150,48.7,1,vw
Q3,2017,15995,Manual,39659,Diesel,145,61.4,2,audi
Yaris,2017,13490,Automatic,22206,Hybrid,0,78,1.5,toyota
Octavia,2015,8500,Automatic,82065,Diesel,30,64.2,2,skoda
Avensis,2018,13695,Manual,37191,Diesel,145,67.3,1.6,toyota
Polo,2015,7498,Manual,22208,Petrol,20,60.1,1,vw
A3,2019,21496,Semi-Auto,2152,Diesel,145,52.3,1.6,audi
Arteon,2019,24995,Semi-Auto,4989,Diesel,145,50.4,2,vw
Kuga,2017,13298,Manual,16400,Petrol,165,45.6,1.5,Ford
Golf,2019,19490,Automatic,6772,Petrol,145,45.6,1.5,vw
Q7,2018,45250,Automatic,24340,Diesel,145,47.1,3,audi
A1,2016,14000,Automatic,12942,Diesel,20,72.4,1.6,audi
Auris,2014,9698,Automatic,58017,Hybrid,0,74.3,1.8,toyota
Fiesta,2015,6998,Manual,48938,Diesel,0,78.5,1.5,Ford
Tucson,2017,16800,Manual,21875,Petrol,145,38.7,1.6,Hyundai
Scirocco,2017,15690,Semi-Auto,37975,Diesel,125,58.9,2,vw
Golf SV,2019,17950,Manual,100,Petrol,145,0.3,1,vw
Fiesta,2019,15910,Manual,5752,Petrol,145,58.9,1,Ford
A4,2019,24900,Automatic,6647,Diesel,145,46.3,2,audi
I30,2019,13730,Manual,10100,Petrol,145,44.8,1,Hyundai
Yaris,2017,10440,Automatic,13000,Petrol,30,58,1.3,toyota
5 Series,2014,10675,Automatic,64221,Diesel,30,62.8,2,BMW
RAV4,2016,19995,Automatic,12442,Petrol,200,43.5,2,toyota
Polo,2019,12998,Manual,9298,Petrol,150,48.7,1,vw
3 Series,2017,18730,Semi-Auto,23618,Diesel,145,62.8,2,BMW
Polo,2016,9999,Manual,19778,Petrol,20,60.1,1.2,vw
Focus,2017,12990,Manual,12822,Petrol,145,57.7,1,Ford
Q7,2019,56950,Semi-Auto,13856,Diesel,145,32.8,3,audi
Golf,2019,20995,Manual,592,Petrol,145,47.1,1.5,vw
Aygo,2017,7880,Manual,22479,Petrol,145,69,1,toyota
Fiesta,2012,5250,Manual,67000,Diesel,20,68.9,1.6,Ford
I10,2014,5495,Manual,62500,Petrol,30,57.6,1.2,Hyundai
Fiesta,2018,8190,Manual,44653,Petrol,145,64.2,1.1,Ford
Caravelle,2019,48990,Semi-Auto,7034,Diesel,145,29.4,2,vw
A5,2019,27000,Automatic,7000,Diesel,145,48.7,2,audi
S3,2016,19300,Semi-Auto,34500,Petrol,200,40.9,2,audi
2 Series,2019,19750,Automatic,5141,Petrol,145,39.2,1.5,BMW
Fiesta,2013,6995,Manual,30200,Petrol,0,65.7,1,Ford
Polo,2019,12999,Manual,8115,Petrol,145,48.7,1,vw
Auris,2018,18495,Automatic,16442,Hybrid,135,65.6,1.8,toyota
Focus,2019,17999,Automatic,3521,Diesel,145,64.2,2,Ford
A5,2019,29990,Automatic,2000,Diesel,145,50.4,2,audi
Tucson,2016,15199,Automatic,10682,Diesel,125,57.6,1.7,Hyundai
Yaris,2013,8900,Automatic,49989,Hybrid,0,76.3,1.5,toyota
Kuga,2018,17200,Manual,16786,Diesel,145,60.1,2,Ford
Galaxy,2019,24500,Semi-Auto,7439,Diesel,145,53.3,2,Ford
Polo,2016,10200,Manual,12090,Petrol,20,60.1,1.2,vw
Fiesta,2018,10897,Manual,7122,Petrol,145,64.2,1.1,Ford
Karoq,2019,18990,Manual,50,Petrol,150,43.5,1,skoda
Q2,2019,18850,Manual,9478,Petrol,150,47.9,1,audi
Golf,2014,14491,Manual,47502,Diesel,20,67.3,2,vw
A5,2016,16998,Semi-Auto,65483,Diesel,150,56.5,2,audi
Yaris,2015,10790,Automatic,27969,Hybrid,0,86,1.5,toyota
C-HR,2019,23450,Automatic,10529,Hybrid,135,74.3,1.8,toyota
5 Series,2010,6500,Automatic,129000,Diesel,205,46.3,3,BMW
Fabia,2019,11490,Manual,5023,Petrol,150,51.4,1,skoda
A4,2016,10200,Manual,88151,Diesel,20,70.6,2,audi
EcoSport,2018,15000,Manual,11137,Petrol,150,51.4,1,Ford
Q3,2019,25490,Manual,11130,Diesel,145,42.8,2,audi
Fabia,2018,7995,Manual,16027,Petrol,145,57.7,1,skoda
A6,2019,28990,Automatic,9500,Diesel,145,47.9,2,audi
Focus,2017,11995,Manual,11500,Petrol,20,61.4,1,Ford
Arteon,2019,27498,Manual,40,Diesel,150,52.3,2,vw
4 Series,2019,32440,Manual,3792,Diesel,145,62.8,2,BMW
Fiesta,2018,10491,Manual,5252,Petrol,145,64.2,1.1,Ford
Touran,2019,20000,Automatic,20535,Diesel,145,49.6,1.6,vw
Golf,2017,21980,Manual,13734,Petrol,200,39.8,2,vw
Focus,2019,18299,Manual,731,Petrol,145,60.1,1,Ford
Kamiq,2020,23490,Automatic,10,Petrol,145,52.3,1.6,skoda
Mondeo,2018,14399,Automatic,28391,Diesel,145,45.6,2,Ford
Fiesta,2019,18000,Manual,4895,Petrol,145,40.3,1.5,Ford
Fiesta,2016,8250,Manual,18270,Petrol,125,54.3,1.2,Ford
3 Series,2012,8990,Manual,64000,Diesel,145,55.4,2,BMW
EcoSport,2017,9380,Manual,33929,Diesel,145,64.2,1.5,Ford
Tucson,2019,21000,Automatic,14690,Diesel,145,47.1,1.6,Hyundai
Superb,2019,21495,Automatic,12700,Diesel,145,61.4,2,skoda
Focus,2018,12995,Manual,14233,Petrol,145,57.7,1,Ford
Golf,2016,18000,Semi-Auto,24000,Petrol,160,44.1,2,vw
Passat,2019,19690,Automatic,4411,Petrol,145,41.5,1.5,vw
Auris,2017,16791,Automatic,29850,Hybrid,0,78.5,1.8,toyota
1 Series,2013,7995,Manual,76941,Diesel,125,60.1,2,BMW
A8,2016,23995,Semi-Auto,39000,Diesel,300,38.7,4.2,audi
Tucson,2017,15498,Semi-Auto,18062,Diesel,145,57.6,1.7,Hyundai
Focus,2017,12495,Manual,35027,Petrol,20,60.1,1,Ford
A1,2019,22490,Semi-Auto,1954,Petrol,145,44.8,1.5,audi
A4,2017,13985,Semi-Auto,84222,Diesel,20,68.9,2,audi
Polo,2017,9490,Manual,12232,Petrol,145,60.1,1,vw
Mondeo,2014,5995,Manual,57304,Diesel,20,65.7,1.6,Ford
Q3,2013,8975,Manual,77120,Diesel,150,54.3,2,audi
Aygo,2017,7498,Manual,25186,Petrol,0,68.9,1,toyota
A7,2015,21488,Semi-Auto,34995,Diesel,165,52.3,3,audi
Puma,2019,20000,Manual,470,Petrol,145,51.4,1,Ford
1 Series,2019,18395,Semi-Auto,1060,Diesel,145,70.6,2,BMW
Q3,2020,28990,Manual,1500,Petrol,145,40.9,1.5,audi
Passat,2019,26990,Semi-Auto,3771,Diesel,145,48.7,2,vw
S8,2015,31250,Automatic,25500,Petrol,305,30.1,4,audi
Superb,2019,17998,Manual,23008,Diesel,145,65.7,2,skoda
2 Series,2015,12690,Manual,29400,Diesel,20,68.9,2,BMW
Tiguan,2019,27799,Semi-Auto,9698,Petrol,150,31.4,2,vw
Tiguan,2017,21989,Manual,26017,Diesel,145,58.9,2,vw
Up,2015,8200,Manual,8283,Petrol,20,60.1,1,vw
Fiesta,2013,5995,Manual,44080,Petrol,0,65.7,1,Ford
A3,2016,11980,Manual,42500,Diesel,20,70.6,2,audi
I20,2017,9080,Manual,22851,Petrol,145,55.4,1.2,Hyundai
Focus,2011,4995,Manual,69000,Petrol,150,47.1,1.6,Ford
Fiesta,2018,14500,Manual,5858,Petrol,145,58.9,1,Ford
Q8,2019,51862,Automatic,11464,Diesel,145,33.6,3,audi
Yaris,2015,9998,Automatic,50714,Hybrid,0,78,1.5,toyota
Golf,2018,14890,Manual,30678,Diesel,150,55.4,1.6,vw
Sharan,2019,19690,Semi-Auto,10100,Diesel,145,42.2,2,vw
Yaris,2011,3500,Manual,82330,Petrol,30,54.3,1.3,toyota
Fabia,2012,2495,Manual,130000,Petrol,145,47.9,1.4,skoda
Focus,2019,15450,Manual,10794,Petrol,145,60.1,1,Ford
3 Series,2015,11000,Automatic,83590,Diesel,30,62.8,2,BMW
A3,2016,10999,Semi-Auto,38000,Diesel,20,70.6,1.6,audi
Q2,2017,20620,Manual,11340,Petrol,145,50.4,1.4,audi
Q2,2018,20750,Semi-Auto,30200,Petrol,145,52.3,1.4,audi
Focus,2019,18000,Manual,5000,Petrol,145,49.6,1,Ford
Fiesta,2018,10700,Manual,31244,Petrol,145,65.7,1,Ford
Q3,2019,27490,Manual,3500,Petrol,145,40.9,1.5,audi
Q5,2020,36888,Automatic,3000,Diesel,145,38.2,2,audi
Fiesta,2017,10995,Manual,21473,Petrol,145,65.7,1,Ford
I20,2016,8290,Manual,12680,Petrol,30,55.4,1.2,Hyundai
Golf,2019,18750,Manual,6000,Diesel,145,62.8,2,vw
Kamiq,2020,20499,Semi-Auto,4000,Petrol,145,44.1,1.5,skoda
A3,2013,8499,Manual,53566,Diesel,20,67.3,2,audi
3 Series,2018,18990,Semi-Auto,17282,Diesel,150,64.2,2,BMW
Fiesta,2017,10498,Manual,19130,Petrol,150,65.7,1,Ford
Shuttle,2015,17895,Automatic,26146,Diesel,325,35.3,2,vw
Fiesta,2018,11070,Automatic,32790,Petrol,145,54.3,1,Ford
5 Series,2016,18000,Automatic,32868,Diesel,125,60.1,2,BMW
Focus,2017,9798,Manual,39763,Diesel,0,74.3,1.5,Ford
Golf,2017,13990,Manual,9500,Petrol,150,54.3,1.4,vw
Up,2016,6990,Manual,14616,Petrol,20,64.2,1,vw
Fiesta,2016,8200,Manual,20387,Petrol,0,65.7,1,Ford
C-MAX,2018,14289,Manual,2282,Petrol,145,48.7,1,Ford
Fiesta,2018,15500,Semi-Auto,1178,Petrol,145,48.7,1,Ford
Polo,2017,10491,Manual,22211,Petrol,150,60.1,1.2,vw
Fiesta,2017,12149,Automatic,5889,Petrol,0,57.7,1,Ford
I10,2018,7995,Manual,7356,Petrol,145,60.1,1,Hyundai
Kodiaq,2020,31499,Automatic,3539,Diesel,145,39.2,2,skoda
Yeti Outdoor,2017,15190,Manual,20939,Diesel,145,62.8,2,skoda
Fiesta,2017,8000,Manual,13369,Petrol,125,54.3,1.2,Ford
Fiesta,2015,6889,Manual,36000,Petrol,30,54.3,1.2,Ford
Golf,2017,13000,Manual,42944,Diesel,0,74.3,1.6,vw
Superb,2015,12999,Manual,30300,Diesel,20,68.9,2,skoda
Focus,2019,16000,Manual,3132,Diesel,145,80.7,1.5,Ford
Focus,2019,15390,Manual,6692,Petrol,145,60.1,1,Ford
Q7,2019,45991,Semi-Auto,28,Diesel,145,33.2,3,audi
Focus,2018,10195,Manual,32176,Petrol,145,61.4,1,Ford
TT,2019,27990,Automatic,5000,Petrol,145,35.3,2,audi
Q5,2020,36930,Automatic,5412,Diesel,145,38.2,2,audi
Tiguan,2015,11999,Semi-Auto,52066,Diesel,205,47.7,2,vw
Polo,2017,11390,Automatic,24548,Petrol,145,60.1,1.2,vw
Polo,2005,1495,Manual,96000,Petrol,160,47.1,1.2,vw
Superb,2017,12295,Semi-Auto,33571,Diesel,145,70.6,1.6,skoda
Golf,2017,16790,Manual,32756,Diesel,30,60.1,2,vw
X3,2016,24390,Semi-Auto,45646,Diesel,200,47.1,3,BMW
1 Series,2016,11990,Manual,39000,Diesel,20,70.6,1.5,BMW
I20,2016,7821,Manual,33322,Petrol,20,62.8,1,Hyundai
Focus,2019,18400,Manual,8230,Diesel,145,74.3,1.5,Ford
Focus,2015,8400,Manual,54451,Diesel,0,74.3,1.5,Ford
Touran,2019,24999,Semi-Auto,4713,Diesel,150,45.6,2,vw
B-MAX,2017,9989,Manual,27590,Petrol,30,56.5,1,Ford
4 Series,2016,18970,Automatic,43306,Diesel,160,51.4,3,BMW
1 Series,2017,16722,Semi-Auto,9063,Petrol,145,55.5,1.5,BMW
Fiesta,2015,6860,Manual,32993,Petrol,125,54.3,1.2,Ford
Fabia,2018,12795,Manual,12049,Petrol,145,64.2,1,skoda
Tourneo Custom,2019,19999,Manual,2223,Diesel,150,35.3,2,Ford
C-HR,2017,15798,Manual,28761,Petrol,150,47.1,1.2,toyota
I30,2015,9000,Manual,16998,Petrol,150,48.7,1.4,Hyundai
1 Series,2018,15291,Semi-Auto,19062,Diesel,150,44.1,2,BMW
5 Series,2019,26990,Automatic,7824,Petrol,145,50.4,2,BMW
Q2,2019,22990,Manual,3696,Petrol,145,40.9,1.5,audi
1 Series,2013,7940,Manual,67916,Diesel,30,65.7,2,BMW
Golf,2019,17498,Manual,6728,Petrol,145,47.1,1.5,vw
3 Series,2015,12567,Automatic,24619,Diesel,20,74.3,2,BMW
Yaris,2015,7999,Automatic,48160,Petrol,30,58,1.3,toyota
A5,2015,17500,Manual,36496,Diesel,145,53.3,2,audi
Fiesta,2018,8700,Manual,29308,Petrol,150,65.7,1,Ford
Tiguan,2014,8999,Manual,31600,Diesel,150,53.3,2,vw
5 Series,2019,29140,Semi-Auto,1499,Petrol,145,47.9,2,BMW
Q5,2019,37400,Semi-Auto,3764,Diesel,150,38.2,2,audi
Fiesta,2017,9690,Manual,19725,Petrol,145,65.7,1,Ford
Auris,2016,14790,Automatic,9675,Hybrid,0,78.5,1.8,toyota
Octavia,2017,12250,Manual,30452,Diesel,150,65.7,2,skoda
Fiesta,2019,12300,Manual,16327,Petrol,145,60.1,1,Ford
Fabia,2018,9475,Manual,19149,Petrol,150,64.2,1,skoda
Scirocco,2017,17999,Manual,25150,Diesel,145,64.2,2,vw
Q8,2020,64995,Semi-Auto,2000,Diesel,145,32.8,3,audi
Focus,2017,12390,Automatic,30888,Petrol,150,46.3,1.5,Ford
Focus,2017,18000,Manual,18805,Petrol,150,41.5,2,Ford
Tucson,2016,10985,Manual,60996,Diesel,30,61.7,1.7,Hyundai
5 Series,2016,15000,Automatic,55120,Diesel,30,62.8,2,BMW
5 Series,2016,31990,Automatic,37000,Petrol,555,28.5,4.4,BMW
A4,2017,14788,Manual,54983,Diesel,145,74.3,2,audi
Polo,2015,8495,Manual,24800,Petrol,20,60.1,1,vw
A4,2017,16900,Manual,10959,Petrol,145,51.4,1.4,audi
Yaris,2015,9300,Manual,28836,Petrol,30,55,1.3,toyota
3 Series,2019,33134,Semi-Auto,5,Diesel,145,52.3,2,BMW
S-MAX,2016,17499,Manual,33453,Diesel,125,51.4,2,Ford
Golf,2015,10995,Manual,28076,Petrol,30,53.3,1.4,vw
A5,2015,10960,Manual,61713,Diesel,20,64.2,2,audi
Octavia,2019,12690,Manual,13881,Petrol,150,60.1,1,skoda
Octavia,2018,11998,Manual,18573,Diesel,145,68.9,1.6,skoda
Polo,2017,13990,Manual,12198,Petrol,150,47,1.8,vw
Focus,2016,9275,Manual,27450,Petrol,20,61.4,1,Ford
Golf,2017,19498,Manual,16402,Petrol,145,47.1,2,vw
Yaris,2017,8588,Manual,29255,Petrol,30,58,1.3,toyota
Fiesta,2014,6990,Manual,29000,Petrol,30,54.3,1.2,Ford
Yaris,2017,8695,Manual,28204,Petrol,145,58.9,1.5,toyota
3 Series,2016,8695,Manual,101930,Diesel,20,72.4,2,BMW
Focus,2018,13699,Manual,5342,Petrol,150,58.9,1,Ford
EcoSport,2018,13550,Manual,11250,Petrol,145,54.3,1,Ford
Q3,2017,25444,Semi-Auto,10255,Petrol,145,40.4,2,audi
5 Series,2017,22899,Semi-Auto,33046,Diesel,145,64.2,2,BMW
Q3,2015,20750,Semi-Auto,29916,Petrol,200,40.4,2,audi
Q3,2019,25995,Semi-Auto,8300,Diesel,145,48.7,2,audi
4 Series,2016,17950,Automatic,34938,Petrol,160,45.6,2,BMW
Golf,2016,19298,Manual,21777,Petrol,200,39.8,2,vw
3 Series,2018,17998,Semi-Auto,19950,Diesel,145,65.7,2,BMW
Fiesta,2017,9980,Manual,17562,Petrol,0,65.7,1,Ford
2 Series,2020,28995,Semi-Auto,5,Diesel,145,67.3,2,BMW
Golf,2019,19890,Semi-Auto,9825,Diesel,145,52.3,2,vw
Focus,2017,12995,Automatic,2000,Petrol,145,51.4,1,Ford
Kodiaq,2019,31995,Semi-Auto,6241,Diesel,145,42.2,2,skoda
Q5,2014,12995,Manual,55292,Diesel,205,47.9,2,audi
Arteon,2019,35750,Automatic,5619,Petrol,145,32.8,2,vw
S-MAX,2019,23179,Manual,12036,Petrol,145,33.6,1.5,Ford
Kuga,2014,9495,Manual,62317,Diesel,125,60.1,2,Ford
X1,2013,9995,Manual,44013,Diesel,160,51.4,2,BMW
2 Series,2018,19995,Automatic,11805,Hybrid,135,135.5,1.5,BMW
Golf SV,2019,20014,Semi-Auto,11126,Petrol,145,42.2,1.5,vw
T-Roc,2019,20880,Manual,3633,Diesel,145,50.4,2,vw
Fiesta,2019,11998,Manual,2269,Petrol,150,48.7,1.1,Ford
RS6,2014,40990,Automatic,63476,Petrol,555,28.8,4,audi
Yaris,2019,12619,Manual,2609,Petrol,145,47.9,1.5,toyota
Golf,2020,20990,Manual,1000,Petrol,145,49.6,1.5,vw
Fiesta,2017,11498,Manual,13430,Petrol,20,62.8,1,Ford
Scirocco,2017,14500,Manual,30186,Petrol,150,52.3,1.4,vw
Kuga,2016,14995,Manual,40136,Diesel,145,54.3,2,Ford
1 Series,2013,9444,Semi-Auto,44000,Petrol,145,48.7,1.6,BMW
